#Tosses Theory Simulated
1 0.144 0.144096
2 0.220032 0.220375
3 0.263105 0.263211
4 0.289343 0.288898
5 0.306453 0.305524
6 0.318288 0.318329
7 0.326874 0.326495
8 0.333337 0.332866
9 0.338339 0.337748
10 0.342291 0.342406
11 0.34546 0.344972
12 0.348031 0.348063
13 0.350131 0.350325
14 0.351855 0.351458
15 0.353272 0.35347
16 0.354437 0.355129
17 0.355392 0.355465
18 0.356169 0.355832
19 0.356796 0.3567
20 0.357293 0.358296
21 0.35768 0.357564
22 0.357969 0.35816
23 0.358175 0.358495
24 0.358306 0.358704
25 0.358373 0.358074
26 0.358382 0.358107
27 0.35834 0.358954
28 0.358253 0.357711
29 0.358125 0.358621
30 0.357838 0.357586
